id;Title;Principal Aim;Principal Aim 2;Proposes a model or method?;Author (citation APA);Country of the data;Publication Year;Journal Name;Type of Journal;N;Type of participant;Age;Sport;Sport_1;Gender;Category participants;Name of source data;Category classification;Type of model;Type of survival model/analysis;Details of the analysis;Kaplan-Meier;Cox;Logistic regression or rates;Log-rank;Tarone_test;Prentice_wilcoxon;Harrington–Fleming;Cox Random effects;MSM;GLM pseudo-obs;Random survival forest;Prametric model;Fine-Gray model;Aalen-Johansen;Competing-risks;Bayesian multilevel logistic regression;Any method;Type of paradigm;Statistical software;Macro/package;Data sharing;Code sharing;Purpose of the analysis;Identify dates or events;Circumstances data censored;Statistical methods rates;Assumptions of survival analysis;Give the estimated survival probability;Nº participants en risk;Plot cumulative ;Reporting median survival times;Results in a graph or table;Statistical methods compare curves;Report the P value;Regression model;Measure of risk;Additional information;Censoring type;Truncament;Random effects;Time dependent
11;Association Between Meniscal Allograft Tears and Early Surgical Meniscal Allograft Failure;To evaluate the prevalence, types, and distribution of arthroscopically confirmed meniscal allograft tears;To evaluate the associated effect on surgical meniscal allograft survival;N;Winkler, P. W., Wagala, N. N., Hughes, J. D., Irrgang, J. J., Fu, F. H., & Musahl, V. (2021).;USA;2021;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;142;Cases;29.6;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;;Derecha;No;No;No
12;Association of Skeletal Maturity and Injury Risk in Elite Youth Soccer Players: A 4-Season Prospective Study With Survival Analysis;To prospectively investigate injury patterns and incidence in relation to skeletal maturity in elite youth academy soccer players;To determine the injury risks associated with the skeletal maturity status, both overall and to the lower limb apophysis;N;Materne, O., Chamari, K., Farooq, A., Weir, A., Hölmich, P., Bahr, R., Greig, M., & McNaughton, L. R. (2021).;Qatar;2021;ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE;Sports Medicine;283;Elite youth soccer players;<19;Football;.;Male;Both;Not reported;Health;Y;Cox Regression;.;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Partial;Yes;;Derecha;No;No;No
13;Autologous Chondrocyte Implantation Sandwich Technique Compared With Autologous Bone Grafting for Deep Osteochondral Lesions in the Knee;To describe the autologous chondrocyte implantation (ACI) sandwich technique with autologous bone grafting (ABG) and compare it with ABG alone for restoration of the osteochondral unit;.;N;Minas, T., Ogura, T., Headrick, J., & Bryant, T. (2018).;USA;2018;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;24;Young Adults;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Wilcoxon;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;;Derecha;No;No;No
14;Better Clinicoradiological Results of BST-CarGel Treatment in Cartilage Repair Compared With Microfracture in Acetabular Chondral Defects at 2 Years;To evaluate short-term clinicoradiological outcomes of patients treated arthroscopically for acetabular chondral defects with CarGel in conjunction with MF compared with those treated with MF alone;.;N;John, R., Ma, J., & Wong, I. (2020).;Canada;2020;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;80;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;N;Survival analysis (no especifiquen);.;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;Minitab;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;No;Yes;No;No;NA;No;;Derecha;No;No;No
15;Can parallel use of different running shoes decrease running-related injury risk?;To determine if runners who use concomitantly different pairs of running shoes are at a lower risk of running-related injury;.;N;Malisoux, L., Ramesh, J., Mann, R., Seil, R., Urhausen, A., & Theisen, D. (2015).;Luxembourg;2015;SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS;Sports Medicine;264;Recreational runners;Not reported;Running;.;Both;Amateur;Not reported;Health;Y;Cox Regression;.;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;Not reported;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;Yes;Yes;;Derecha;No;No;No
16;Cartilage survival of the knee strongly depends on malalignment: a survival analysis from the Osteoarthritis Initiative (OAI);To establish a timeline of cartilage survival rate per subregion of the knee in relation to mechanical alignment of the lower extremity;.;N;Faschingbauer, M., Kasparek, M., Waldstein, W., Schadler, P., Reichel, H., & Boettner, F. (2020).;USA;2020;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;458;Cases;[45-79];Not sport;.;Both;Not sport;Osteoarthritis Initiative (OAI);Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;;Derecha;No;No;No
17;Clinical Outcomes of Hip Arthroscopic Surgery: A Prospective Survival Analysis of Primary and Revision Surgeries in a Large Mixed Cohort;To perform a survival analysis in a large mixed cohort of patients undergoing hip arthroscopic surgery at a high-volume tertiary referral center for hip preservation with a minimum 2-year follow-up;To compare clinical outcomes of primary versus revision hip arthroscopic surgery;N;Domb, B. G., Gui, C., Hutchinson, M. R., Nho, S. J., Terry, M. A., & Lodhia, P. (2016).;USA;2016;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;1155;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;N;Survival analysis (no especifiquen);.;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;OK;Frequentist;Not reported;No;No;No;Yes;Yes;No;Partial;No;No;No;Yes;NA;Yes;No;No;NA;Yes;;Derecha;No;No;No
18;Clinical, Radiographic, and MRI Evaluation of All-Inside Medial Meniscus Posterior Root Repair via Suture Fixation to the Posterior Cruciate Ligament Versus Partial Meniscectomy: Results at 3-Year Follow-up;To compare the clinical, radiographic, and magnetic resonance imaging (MRI) outcomes of patients with MMPRT between trans-posterior cruciate ligament (trans-PCL) all-inside repair and partial meniscectomy;.;N;Su J, Wan H, Pang Y, Lu Y, Liang J, Yan Z, Xu S, Sun T. (2023);China;2023;ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE;Sports Medicine;60;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;No;Yes;Yes;Yes;No;No;;Derecha;No;No;No
19;Combined ACL and ALL reconstruction reduces the rate of reoperation for graft failure or secondary meniscal lesions in young athletes;To evaluate the link between ACL reconstruction with and without anterolateral ligament (ALL) reconstruction and outcomes in young patients participating in pivoting sports;.;N;Laboudie, P., Douiri, A., Bouguennec, N., Biset, A., & Graveleau, N. (2022);France;2022;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;203;Cases;<20;Pivoting sports;.;Both;Both;Not reported;Sports Performance Analysis;Y;Kaplan-Meier;Kaplan–Meier survival curves and Cox Regression;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
20;Community-Level Sports Group Participation and the Risk of Cognitive Impairment;To investigate the contextual effect of community-level prevalence of sports group participation on the risk of cognitive impairment among older individuals;.;N;Tsuji, T., Kanamori, S., Miyaguni, Y., Hanazato, M., & Kondo, K. (2019);Japan;2019;MEDICINE AND SCIENCE IN SPORTS AND EXERCISE;Sports Medicine;40308;Older patients;Not reported;Not sport;.;Both;Amateur;Japan Gerontological Evaluation Study (JAGES);Health;Y;Two-level multilevel survival analysis;.;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;OK;Frequentist;Not reported;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;Yes;Yes;;Derecha;No;Yes;No
21;Comparable clinical outcome and implant longevity after CT- or MRI-based patient-specific instruments for total knee arthroplasty: a 2-year follow-up of a RCT; To assess differences in revision rate and clinical outcome between the two groups at 2-year follow-up;.;N;Thijs, E., Theeuwen, D., Boonen, B., van Haaren, E., Hendrickx, R., Vos, R., Borghans, R., Kort, N., & Schotanus, M. G. M. (2020);The Netherlands;2020;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;124;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;N;Survival analysis;.;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;Partial;No;No;NA;No;;Derecha;No;No;No
22;Concussion is not associated with elevated rates of lower-extremity musculoskeletal injuries in National Football League Players;To assess the odds of post-concussion MSK injury utilizing publicly available National Football League (NFL) injury reports;.;N;Buckley, T. A., Browne, S., Hunzinger, K. J., Kaminski, T. W., & Swanik, C. B. (2023);USA;2023;PHYSICIAN AND SPORTSMEDICINE;Sports Medicine;322;American football players;26.7;American football;.;Male;Professional;NFL injury reports;Sports Performance Analysis;Y;Conditional logistic regression;.;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SAS;No;No;No;Yes;Yes;No;Yes;No;No;No;No;NA;Partial;No;No;No;Yes;;Derecha;No;No;No
