id;Title;Principal Aim;Principal Aim 2;Proposes a model or method?;Author (citation APA);Country of the data;Publication Year;Journal Name;Type of Journal;N;Type of participant;Age;Sport;Sport_1;Gender;Category participants;Name of source data;Category classification;Type of model;Type of survival model/analysis;Details of the analysis;Kaplan-Meier;Cox;Logistic regression or rates;Log-rank;Tarone_test;Prentice_wilcoxon;Harrington–Fleming;Cox Random effects;MSM;GLM pseudo-obs;Random survival forest;Prametric model;Fine-Gray model;Aalen-Johansen;Competing-risks;Bayesian multilevel logistic regression;Any method;Type of paradigm;Statistical software;Macro/package;Data sharing;Code sharing;Purpose of the analysis;Identify dates or events;Circumstances data censored;Statistical methods rates;Assumptions of survival analysis;Give the estimated survival probability;Nº participants en risk;Plot cumulative ;Reporting median survival times;Results in a graph or table;Statistical methods compare curves;Report the P value;Regression model;Measure of risk;Additional information;Censoring type;Truncament;Random effects;Time dependent
57;Injuries and illnesses in Swedish Paralympic athletes-A 52-week prospective study of incidence and risk factors;To describe the annual incidence, type, and severity of injuries and illnesses among Swedish Paralympic athletes;To assess its risk factors;N;Fagher, K., Dahlström, Ö., Jacobsson, J., Timpka, T., & Lexell, J. (2020).;Sweden;2020;SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS;Sports Medicine;107;Paralympic athletes;[18-65];Team sports, Summer sports and Winter sports;Summer & Winter Sports;Both;Professional;Not reported;Sports Performance Analysis;Y;Kaplan-Meier;Kaplan-Meier and Cox regression;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
58;Joint Line Obliquity Does Not Affect the Outcomes of Opening Wedge High Tibial Osteotomy at an Average 10-Year Follow-up;To evaluate the prognostic factors (including a pathological postoperative JLO) related with the outcomes of opening wedge HTO at 10 years of follow-up;.;N;Rosso, F., Rossi, R., Cantivalli, A., Pilone, C., & Bonasia, D. E. (2022).;Italy;2022;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;92;Cases;53.5;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;MedCalc;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;NA;Yes;NA;NA;Yes;Yes;;Derecha;No;No;No
59;Length of stay and its impact upon functional outcomes following lower limb arthroplasty;To investigate the interplay between patient characteristics and length of hospital stay ;To investigate the interplay between one-year patient-reported outcome following total knee and hip arthroplasty;N;Brock, T. M., Baker, P. N., Rushton, S., Bardgett, M., & Deehan, D. (2017).;UK;2017;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;1001;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Structural equation modelling;.;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;Not reported;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;Yes;No;;Derecha;No;No;No
60;Less risk of conversion to total knee arthroplasty without significant clinical and survivorship difference for opening-wedge high tibial osteotomies in varus knee deformities at 10-year minimum follow-up compared to closing-wedge high tibial osteotomies;To evaluate the clinical outcomes and survivorship at minimum 10-year follow-up of patients undergoing primary valgisation high tibial osteotomy (HTO) for medial osteoarthritis (OA), treated by Opening-Wedge HTO (OW-HTO) or Closing-Wedge HTO (CW-HTO);;N;Cazor, A., Schmidt, A., Shatrov, J., Alqahtani, T., Neyret, P., Sappey-Marinier, E., Batailler, C., Lustig, S., & Servien, E. (2023).;France;2023;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;183;Cases;[27-73.9];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;EasyMedStat;No;No;No;Yes;Yes;No;Partial;No;Yes;No;No;No;Yes;Yes;Yes;No;Yes;;Derecha;No;No;No
61;Long-term Outcomes and Survivorship of Fresh-Frozen Meniscal Allograft Transplant With Soft Tissue Fixation: Minimum 10-Year Follow-up Study;To evaluate the long-term clinical outcomes, reoperations, and failures with a minimum follow-up of 10 years after fresh-frozen MAT performed arthroscopically with soft tissue fixation;.;N;Grassi, A., Macchiarola, L., Lucidi, G. A., Coco, V., Romandini, I., Filardo, G., Neri, M. P., Marcacci, M., & Zaffagnini, S. (2020).;Italy;2020;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;46;Cases;36.6;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;MedCalc;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
62;Long-term Outcomes of Autologous Chondrocyte Implantation in Adolescent Patients;To evaluate long-term outcomes in adolescents after ACI using survival analyses, validated outcome questionnaires, and standard radiographs;.;N;Ogura, T., Bryant, T., & Minas, T. (2017).;USA;2017;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;29;Cases;[13-17];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;NA;Yes;NA;NA;No;No;;Derecha;No;No;No
63;Long-term results of arthroscopic Bankart repair: Minimum 10 years of follow-up;To investigate the long-term results of arthroscopic Bankart repair in terms of rates and timelines of recurrence of instability, with special interest in young adult patients aged ?20 years;.;N;Flinkkilä, T., Knape, R., Sirniö, K., Ohtonen, P., & Leppilahti, J. (2018).;Finland;2018;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;182;Cases;[15-58];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Yes;No;Yes;NA;Yes;Yes;Yes;No;No;;Derecha;No;No;No
64;Long-term Survival Analysis of Meniscus Allograft Transplantation With Bone Fixation;To investigate the long-term clinical results and clinical survival rate of meniscus allograft transplantation (MAT) with bone fixation;.;N;Kim, J. M., Bin, S. I., Lee, B. S., Kim, N. K., Song, J. H., Choi, J. W., & Lee, C. R. (2017).;Korea;2017;ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY;Sports Medicine;47;Cases;30.4;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;Not reported;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;NA;Partial;NA;NA;No;No;;Derecha;No;No;No
65;Long-term survival is similar between closed-wedge high tibial osteotomy and unicompartmental knee arthroplasty in patients with similar demographics;To compare long-term clinical and radiographic results and survival rates between closed-wedge high tibial osteotomy (HTOs) and fixed-bearing unicompartmental knee arthroplasty (UKA) in patients with similar demographics;.;N;Song, S. J., Bae, D. K., Kim, K. I., & Park, C. H. (2019).;Korea;2019;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;110;Cases;[55-65];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;No;;Derecha;No;No;No
66;Long-term Survivorship and Function of Meniscus Transplantation;To  evaluate the effects of articular cartilage damage, concurrent osteochondral autograft transfer (20 knees), patient age, and tibiofemoral compartment;.;N;Noyes, F. R., & Barber-Westin, S. D. (2016).;USA;2016;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;72;Cases;[14-49];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;Not reported;No;No;No;Yes;Partial;Partial;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;No;;Derecha;No;No;No
67;Lower Extremity Musculoskeletal Injury in US Military Academy Cadet Basic Training: A Survival Analysis Evaluating Sex, History of Injury, and Body Mass Index;To report both the incidence and timing of lower extremity injuries during cadet basic training;.;N;Hearn, D. W., Kerr, Z. Y., Wikstrom, E. A., Goss, D. L., Cameron, K. L., Marshall, S. W., & Padua, D. A. (2021).;USA;2021;ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE;Sports Medicine;595;Cadets;[17-22];Military training;.;Both;Amateur;Not reported;Health;Y;Kaplan-meier;Kaplan-Meier and Cox proportional hazard regression;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SAS;No;No;No;Yes;Yes;Partial;Partial;Yes;Partial;No;No;Yes;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
68;Lower revision rates for cemented fixation in a long-term survival analysis of three different LCS designs;To investigate the long-term survival of this design with a minimum of 15-year follow-up;.;N;van Ooij, B., de Keijzer, D. R., Hoornenborg, D., Sierevelt, I. N., & Haverkamp, D. (2022).;The Netherlands;2022;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;1271;Cases;Not reported;Not sport;.;Both;Not sport;Slotervaart Medical Centre;Health;Y;Cox Regression;.;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;Yes;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
69;Lower-Extremity Injury Increases Risk of First-Time Low Back Pain in the US Army;To examine acute LEI as a risk factor for developing LBP and examined the time to incident LBP between individuals with and without a history of LEI.;.;N;Seay, J. F., Shing, T., Wilburn, K., Westrick, R., & Kardouni, J. R. (2018).;USA;2018;MEDICINE AND SCIENCE IN SPORTS AND EXERCISE;Sports Medicine;213307;Soldiers;Not reported;Not sport;.;Both;Not sport;Total Army Injury and Health Outcomes Database;Health;Y;Cox Regression;Cox Regression model and Accelerated Failure Time (AFT) model;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;OK;Frequentist;Not reported;No;No;No;Yes;Yes;Yes;Yes;Partial;Yes;No;No;NA;Yes;Yes;No;Yes;Yes;;Derecha;No;No;No
70;Medial shoe-ground pressure and specific running injuries: A 1-year prospective cohort study;To investigate if running distance until the first APM-injury was dependent on the foot balance during stance phase in recreational male runners;.;N;Brund, R. B. K., Rasmussen, S., Nielsen, R. O., Kersting, U. G., Laessoe, U., & Voigt, M. (2017).;Denmark;2017;JOURNAL OF SCIENCE AND MEDICINE IN SPORT;Sports Medicine;196;Recreational Runners;[18-60];Running;.;Male;Amateur;Not reported;Sports Performance Analysis;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;Yes;Yes;No;Partial;No;Yes;NA;Yes;Yes;Yes;No;Yes;;Derecha;No;No;No
71;Meniscal integrity predicts laxity of anterior cruciate ligament reconstruction;To evaluate the incidence of failure of anterior cruciate ligament (ACL) reconstruction;To assess the prognostic factors for such an outcome;N;Robb, C., Kempshall, P., Getgood, A., Standell, H., Sprowson, A., Thompson, P., & Spalding, T. (2015).;UK;2015;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;123;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;Kaplan-Meier and Cox proportional hazard model;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;R;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
72;Meniscal repair failure following concurrent primary anterior cruciate ligament reconstruction: results from the New Zealand ACL Registry;To identify the risk factors for meniscal repair failure following concurrent primary anterior cruciate ligament (ACL) reconstruction;.;N;Rahardja, R., Love, H., Clatworthy, M. G., & Young, S. W. (2023).;New Zealand;2023;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;3024;Cases;Not reported;Not sport;.;Both;Not sport;New Zealand ACL Registry and Accident Compensation Corporation;Health;Y;Cox proportional hazards model;Multivariate survival analysis using a Cox proportional hazards regression model;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;Partial;Partial;No;No;No;Yes;No;No;Yes;Yes;;Derecha;No;No;No
73;Mesenchymal Stem Cell Implantation in Knee Osteoarthritis: Midterm Outcomes and Survival Analysis in 467 Patients;To evaluate the midterm outcomes, analyze the survival rates, and identify the factors affecting the survival rate of MSC implantation to treat knee OA.;.;N;Kim, Y. S., Suh, D. S., Tak, D. H., Chung, P. K., & Koh, Y. G. (2020).;Korea;2020;ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE;Sports Medicine;483;Cases;[48-74];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;No;Yes;NA;NA;Yes;Yes;;Derecha;No;No;No
74;Minimally invasive lateral unicompartmental knee replacement: Early results from an independent center using the Oxford fixed lateral prosthesis;To assess clinical outcome as well as short-term survivorship of fixed-bearing lateral unicompartmental knee replacement (UKR) from a non-designer centre using the Oxford Fixed Lateral prosthesis;.;N;Walker, T., Hariri, M., Eckert, J., Panzram, B., Reiner, T., Merle, C., Gotterbarm, T., & Moradi, B. (2020).;Germany;2020;THE KNEE;Sports Medicine;52;Cases;[34-88];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS and Graphpad Prism;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;No;No;;Derecha;No;No;No
75;Minimally invasive Oxford medial unicompartmental knee arthroplasty in young patients;To address the issue of advanced knee arthritis in young patients through exploring the efficacy and expanding indications of mobile-bearing unicompartmental knee arthroplasty (UKA) as a surgical treatment option;.;N;Streit, M. R., Streit, J., Walker, T., Bruckner, T., Philippe Kretzer, J., Ewerbeck, V., Merle, C., Aldinger, P. R., & Gotterbarm, T. (2017).;Germany;2017;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;118;Cases;[25-60];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS and Graphpad Prism;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;NA;Yes;NA;NA;No;No;;Derecha;No;No;No
76;Modern cemented total knee arthroplasty design shows a higher incidence of radiolucent lines compared to its predecessor;To evaluate the radiographic outcome and short-term survival of a modern cemented primary TKA system compared to its predecessor;.;N;Staats, K., Wannmacher, T., Weihs, V., Koller, U., Kubista, B., & Windhager, R. (2019).;Austria;2019;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;529;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;NA;Yes;Yes;Yes;No;No;;Derecha;No;No;No
77;Monitoring of sport participation and injury risk in young athletes;To compare sport participation characteristics in different youth sport categories;To investigate their relationship with injury;N;Malisoux, L., Frisch, A., Urhausen, A., Seil, R., & Theisen, D. (2013).;Luxembourg;2013;JOURNAL OF SCIENCE AND MEDICINE IN SPORT;Sports Medicine;154;Young high-level athletes;[12-19];Team sports, Racket sports and Individual sports;Individual Sports;Both;Amateur;Training and Injury Prevention Platform for Sports (TIPPS);Sports Performance Analysis;Y;Cox proportional hazards regression;.;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;Not reported;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;Partial;Yes;;Derecha;No;No;No
78;Mortality of Spanish soccer referees and coaches: a retrospective cohort study;To analyze the longevity of both professionals, comparing them with soccer players and with general population;.;N;Diz, J. C., Rodríguez, I., Iglesias-Sueiro, S., Diz Ferreira, E., Sanchez-Lastra, M. A. & Ayán, C. (2023);Spain;2023;SCIENCE AND MEDICINE IN FOOTBALL;Sports Medicine;1845;Football coaches, referees and players;Not reported;Football;.;Male;Professional;Spanish League Registers;Health;Y;Kaplan-Meier;Kaplan–Meier and log-rank test;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS and Excel;No;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;;Derecha;Yes;No;No
79;Multiple factors explain injury risk in adolescent elite athletes: Applying a biopsychosocial perspective;To identify risk factors for injury in adolescent elite athletes, by applying a biopsychosocial approach;.;Y;von Rosen, P., Frohm, A., Kottorp, A., Fridén, C., & Heijne, A. (2017).;Sweden;2017;SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS;Sports Medicine;496;Adolescent elite athletes;[15-19];Athletics, Cross country skiing, Orienteering, Ski-orienteering, Handball, Downhill skiing, Freestyle skiing, Water skiing, Canoe, Rowing, Wrestling, Bowling, Triathlon, Golf, Cycling and American football;Cross-country skiing;Both;Amateur;Karolinska Athlete Screening Injury Prevention (KASIP project );Health;Y;Cox Regression;.;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;Yes;Yes;Yes;Partial;No;No;No;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
80;National Football League Skilled and Unskilled Positions Vary in Opportunity and Yield in Return to Play After an Anterior Cruciate Ligament Injury;To test for differences in RTP rates and changes in performance after an ACL injury by position and draft round;.;N;Yang, J., Hodax, J. D., Machan, J. T., Secrist, E. S., Durand, W. M., Owens, B. D., Eltorai, A. E. M., & Dodson, C. C. (2017).;USA;2017;ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE;Sports Medicine;154;American football players;Not reported;American football;.;Male;Professional;NFL Injury Surveillance System;Sports Performance Analysis;Y;Kaplan-Meier;Kaplan-Meier and Generalized linear models;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SAS;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;;Derecha;No;No;No
81;No difference in mid-term survival and clinical outcome between patient-specific and conventional instrumented total knee arthroplasty: a randomized controlled trial;To compare the survival rate and clinical outcome in total knee arthroplasty (TKA) after MRI-based patient-specific instruments (PSI) and conventional instruments 5 years after initial surgery;.;N;Schotanus, M. G. M., Boonen, B., van der Weegen, W., Hoekstra, H., van Drumpt, R., Borghans, R., Vos, R., van Rhijn, L., & Kort, N. P. (2019).;The Netherlands;2019;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;163;Cases;71.8;Not sport;.;Both;Not sport;Not reported;Health;Y;Generalised linear mixed model (GLMM);.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;No;No;;Derecha;No;No;No
82;No effect of fixation type on early and late mortality after total knee arthroplasty: a Dutch arthroplasty register study;To determine the effect of fixation on early and late mortality after primary TKA;.;N;Quispel, C. R., van Egmond, J. C., Bruin, M. M., Spekenbrink-Spooren, A., Verburg, H., & Pasma, J. H. (2022).;The Netherlands;2022;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;108687;Cases;68.6;Not sport;.;Both;Not sport;Dutch Arthroplasty Register (LROI);Health;Y;Kaplan-Meier;Kaplan-Meier and Cox survival analysis;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS and R;No;No;No;Yes;Yes;Partial;Yes;Yes;Partial;No;Yes;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;Yes
83;Nonoperative Treatment of Elbow Ulnar Collateral Ligament Injuries With and Without Platelet-Rich Plasma in Professional Baseball Players: A Comparative and Matched Cohort Analysis;To perform a comparative studie on professional baseball players who have undergone nonoperative treatment with or without PRP injections for UCL injuries;.;N;Chauhan, A., McQueen, P., Chalmers, P. N., Ciccotti, M. G., Camp, C. L., D'Angelo, J., Potter, H. G., Fealy, S. A., Erickson, B. J., Hoenecke, H. R., Keefe, D., McCauley, J., & Fronek, J. (2019).;USA;2019;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;544;Pitchers;23;Baseball;.;Male;Professional;Major League Baseball (MLB) Health and Injury Tracking System;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;Excel and SPSS;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;No;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
84;Operative shoulder instability injury management in Australian Football League players: A case series;To review the surgical management procedures of shoulder instability injuries in Australian Football League (AFL) players;To determine outcomes regarding return to sport and injury recurrence;N;Bonacci, J., Manson, B., Bowe, S. J., Gill, S., Seward, H., Hoy, G., & Page, R. (2018).;Australia;2018;JOURNAL OF SCIENCE AND MEDICINE IN SPORT;Sports Medicine;77;Australian football players;21.9;Australian football;.;Male;Professional;Australian Football League (AFL) injury surveillance report;Health;Y;Kaplan-Meier;Kaplan–Meier and logistic regression model;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;Partial;Yes;;Derecha;No;No;No
85;Outcomes from sudden cardiac arrest in US high schools: a 2-year prospective study from the National Registry for AED Use in Sports;To prospectively investigate a large cohort of U.S. high schools to determine and quantify the impact of school-based AED programs on survival from SCA.;.;N;Drezner, J. A., Toresdahl, B. G., Rao, A. L., Huszti, E., & Harmon, K. G. (2013);USA;2013;BRITISH JOURNAL OF SPORTS MEDICINE;Sports Medicine;59;Cases;[13-80];Not sport;.;Both;Not sport;The National Registry for AED Use in Sports (AEDSPORTS);Health;N;Univariate logistic regression;.;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;Not reported;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;NA;No;;Derecha;No;No;No
86;Partial lateral facetectomy plus Insall's procedure for the treatment of isolated patellofemoral osteoarthritis: survival analysis;To report the survival analysis of partial lateral facetectomy and Insall's procedure in patients with isolated patellofemoral osteoarthritis;To assess the risk and protective factors for failure of this procedure;N;Montserrat, F., Alentorn-Geli, E., León, V., Ginés-Cespedosa, A., & Rigol, P. (2014).;Spain;2014;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;87;Cases;61.8;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;Kaplan-Meier and Cox univariate and multivariate;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;Partial;Yes;No;Partial;No;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
87;Partial Meniscectomy for Degenerative Medial Meniscal Root Tears Shows Favorable Outcomes in Well-Aligned, Nonarthritic Knees;To identify the risk factors associated with end-stage osteoarthritis after arthroscopic meniscectomy for degenerative MMPRT for middle-aged or elderly patients;To determine the joint survivorship according to the identified risk factors;N;Lee, B. S., Bin, S. I., Kim, J. M., Park, M. H., Lee, S. M., & Bae, K. H. (2019).;Korea;2019;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;288;Cases;[43-78];Not sport;.;Both;Not sport;Not reported;Health;Y;Cox proportional hazards regression;Cox proportional hazards regression, Kaplan-Meier and log-rank test;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;Partial;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Partial;Yes;;Derecha;No;No;No
88;Patient satisfaction and clinical outcomes of reverse shoulder arthroplasty: a minimum of 10 years' follow-up;To report patient-reported outcomes, satisfaction, complications, revisions, and prosthesis survivorship of RSA performed by a single, high-volume shoulder arthroplasty surgeon at a minimum of 10 years using a Grammont design prosthesis;.;N;Sheth, M. M., Heldt, B. L., Spell, J. H., Vidal, E. A., Laughlin, M. S., Morris, B. J., Elkousy, H. A., & Edwards, T. B. (2022).;USA;2022;JOURNAL OF SHOULDER AND ELBOW SURGERY;Sports Medicine;94;Cases;66;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;No;Yes;;Derecha;No;No;No
89;Patients aged 50-75 years take longer to achieve the patient acceptable symptom state than patients aged 20-34 years following primary hip arthroscopy for femoroacetabular impingement syndrome;To assess the impact of age on time to achieving the Minimum Clinically Important Difference (MCID), Substantial Clinical Benefit (SCB), and Patient Acceptable Symptom State (PASS) following primary hip arthroscopy for FAIS;.;N;Shankar, D. S., Rao, N., Colasanti, C. A., Lan, R., Essilfie, A. A., & Youm, T. (2023).;USA;2023;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;285;Cases;[20-75];Not sport;.;Both;Not sport;Not reported;Health;Y;Cox proportional hazards modeling;.;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SAS;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;No;Yes;Yes;;Interval;No;No;No
90;Personalized Medicine Using Predictive Analytics: A Machine Learning-Based Prognostic Model for Patients Undergoing Hip Arthroscopy;To establish a method for predictive modeling to enable individualized prognostication and shared decision making based on preoperative patient factors using data from a prospective hip preservation registry;.;N;Domb, B. G., Ouyang, V. W., Go, C. C., Gornbein, J. A., Shapira, J., Meghpara, M. B., Maldonado, D. R., Lall, A. C., & Rosinsky, P. J. (2022).;USA;2022;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;2415;Cases;[12.8-81.3];Not sport;.;Both;Not sport;Not reported;Health;Y;Cox proportional hazards modeling;Cox proportional hazards modeling y Fine-Gray model;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;OK;Frequentist;R;No;No;No;Yes;Yes;No;Yes;Partial;Partial;No;No;No;Yes;Yes;No;Yes;Yes;;Derecha;No;No;No
